model,record_type,epoch,val_mae,val_spearman,split,MAE,Spearman
"ESM2 35M, seed 42, bs1",validation_history,1.0,1.102232007898836,0.1503544186185916,validation,,
"ESM2 35M, seed 42, bs1",validation_history,2.0,1.0192934325617602,0.344048314825638,validation,,
"ESM2 35M, seed 42, bs1",validation_history,3.0,1.0108732015658648,0.3995564147522066,validation,,
"ESM2 35M, seed 42, bs1",validation_history,4.0,0.9964810069809612,0.4026285423129374,validation,,
"ESM2 35M, seed 42, bs1",validation_history,5.0,1.0098614264757206,0.4091474471369269,validation,,
"ESM2 35M, seed 42, bs1",validation_history,6.0,0.9886880858331664,0.412983860090815,validation,,
"ESM2 35M, seed 42, bs1",validation_history,7.0,0.9828798098441882,0.4342714561884637,validation,,
"ESM2 35M, seed 42, bs1",validation_history,8.0,0.9800877082042204,0.4346086409207391,validation,,
"ESM2 35M, seed 42, bs1",validation_history,9.0,0.9900775485568576,0.4409851788577679,validation,,
"ESM2 35M, seed 42, bs1",validation_history,10.0,0.9856869012881548,0.4306148750917891,validation,,
"ESM2 35M, seed 42, bs1",validation_history,11.0,0.9856133624019786,0.4370888219514753,validation,,
"ESM2 35M, seed 42, bs1",validation_history,12.0,0.9735994298233944,0.4530114343089211,validation,,
"ESM2 35M, seed 42, bs1",validation_history,13.0,0.9783963423508863,0.4430682312038244,validation,,
"ESM2 35M, seed 42, bs1",validation_history,14.0,0.9843294029561882,0.4367666232073011,validation,,
"ESM2 35M, seed 42, bs1",validation_history,15.0,0.9831506472367508,0.4287266405910473,validation,,
"ESM2 35M, seed 42, bs1",validation_history,16.0,1.0201278507200062,0.4428958923406614,validation,,
"ESM2 35M, seed 42, bs1",validation_history,17.0,0.9878214159582416,0.4437650796505267,validation,,
"ESM2 35M, seed 42, bs1",validation_history,18.0,0.9848662625011216,0.4370213850050203,validation,,
"ESM2 35M, seed 42, bs1",validation_history,19.0,0.9927212254613892,0.4386773366901946,validation,,
"ESM2 35M, seed 42, bs1",validation_history,20.0,0.99853626683227,0.4398087787918296,validation,,
"ESM2 35M, seed 42, bs1",validation_history,21.0,0.9736670245472182,0.4496695589623701,validation,,
"ESM2 35M, seed 42, bs1",validation_history,22.0,0.975841577236469,0.44194428209624,validation,,
"ESM2 35M, seed 42, bs1",validation_history,23.0,0.9733637051704602,0.4516477093917187,validation,,
"ESM2 35M, seed 42, bs1",validation_history,24.0,0.9715783738682412,0.4420341980248468,validation,,
"ESM2 35M, seed 42, bs1",validation_history,25.0,1.0290509798587897,0.4188583674264562,validation,,
"ESM2 35M, seed 42, bs1",validation_history,26.0,0.9818809154706124,0.4204768541413778,validation,,
"ESM2 35M, seed 42, bs1",validation_history,27.0,0.9870251019795736,0.427497789566755,validation,,
"ESM2 35M, seed 42, bs1",validation_history,28.0,1.0375758684598482,0.4320310509673455,validation,,
"ESM2 35M, seed 42, bs1",validation_history,29.0,0.999544536965525,0.4316863732410196,validation,,
"ESM2 35M, seed 42, bs1",validation_history,30.0,1.0307795736524794,0.4307272700025476,validation,,
"ESM2 35M, seed 42, bs1",validation_history,31.0,1.009407161647438,0.4385724347734868,validation,,
"ESM2 35M, seed 42, bs1",validation_history,32.0,0.9981409280728072,0.4208140388736531,validation,,
"ESM2 35M, seed 42, bs1",validation_history,33.0,1.00692959728404,0.428988895382817,validation,,
"ESM2 35M, seed 42, bs1",validation_history,34.0,0.9850544481195956,0.433649537682267,validation,,
"ESM2 35M, seed 42, bs1",validation_history,35.0,0.9943956778599664,0.43435387912302,validation,,
"ESM2 35M, seed 42, bs1",validation_history,36.0,0.9963943774883564,0.4340991173253007,validation,,
"ESM2 35M, seed 42, bs1",validation_history,37.0,1.1014565728668473,0.4183863088012707,validation,,
"ESM2 35M, seed 42, bs1",validation_history,38.0,1.0019906361897786,0.4364968754214808,validation,,
"ESM2 35M, seed 42, bs1",validation_history,39.0,1.0396030540140266,0.418843381438355,validation,,
"ESM2 35M, seed 42, bs1",validation_history,40.0,1.0094427736396463,0.4155539570501581,validation,,
"ESM2 35M, seed 42, bs1",validation_history,41.0,1.013022734568669,0.4201171904269508,validation,,
"ESM2 35M, seed 42, bs1",validation_history,42.0,1.0214702267932076,0.4235564746961591,validation,,
"ESM2 35M, seed 42, bs1",validation_history,43.0,1.0059267027765255,0.4279923271740922,validation,,
"ESM2 35M, seed 42, bs1",validation_history,44.0,1.0159464391887698,0.4377706844100765,validation,,
"ESM2 35M, seed 42, bs1",validation_history,45.0,1.015647274816138,0.427258013757137,validation,,
"ESM2 35M, seed 42, bs1",validation_history,46.0,1.0279268647870448,0.4231143880471759,validation,,
"ESM2 35M, seed 42, bs1",validation_history,47.0,1.0220664912818844,0.4277825233406764,validation,,
"ESM2 35M, seed 42, bs1",validation_history,48.0,1.009803890163063,0.4327803503724017,validation,,
"ESM2 35M, seed 42, bs1",validation_history,49.0,1.0151195933676174,0.4298131247283789,validation,,
"ESM2 35M, seed 42, bs1",validation_history,50.0,1.1385929197327704,0.4231893179876814,validation,,
"ESM2 150M, seed 42, bs1",validation_history,1.0,1.0589646253830347,0.2156708477573468,validation,,
"ESM2 150M, seed 42, bs1",validation_history,2.0,1.029372321234809,0.3549955791335101,validation,,
"ESM2 150M, seed 42, bs1",validation_history,3.0,1.0353016201247516,0.357071138485516,validation,,
"ESM2 150M, seed 42, bs1",validation_history,4.0,1.0070815208630683,0.4084356127021235,validation,,
"ESM2 150M, seed 42, bs1",validation_history,5.0,1.0086787541707356,0.419907386593535,validation,,
"ESM2 150M, seed 42, bs1",validation_history,6.0,0.9927913082970512,0.437351076743245,validation,,
"ESM2 150M, seed 42, bs1",validation_history,7.0,0.978083620723496,0.4716390175186201,validation,,
"ESM2 150M, seed 42, bs1",validation_history,8.0,0.9753439120757276,0.4778507095865366,validation,,
"ESM2 150M, seed 42, bs1",validation_history,9.0,0.9812714401473348,0.4653374095220968,validation,,
"ESM2 150M, seed 42, bs1",validation_history,10.0,0.9778326596969212,0.4637638807714786,validation,,
"ESM2 150M, seed 42, bs1",validation_history,11.0,0.9620205276032798,0.481012753075874,validation,,
"ESM2 150M, seed 42, bs1",validation_history,12.0,0.9711423225891896,0.4812974868497954,validation,,
"ESM2 150M, seed 42, bs1",validation_history,13.0,0.9421864044971956,0.501558542762517,validation,,
"ESM2 150M, seed 42, bs1",validation_history,14.0,0.9560377067989774,0.5050128130198265,validation,,
"ESM2 150M, seed 42, bs1",validation_history,15.0,0.9540411570133308,0.4946125372776454,validation,,
"ESM2 150M, seed 42, bs1",validation_history,16.0,0.9376280002104932,0.5008317223396125,validation,,
"ESM2 150M, seed 42, bs1",validation_history,17.0,0.9767186132251708,0.4959387972245949,validation,,
"ESM2 150M, seed 42, bs1",validation_history,18.0,1.0430847599975064,0.5056122525438714,validation,,
"ESM2 150M, seed 42, bs1",validation_history,19.0,0.9559196142049936,0.4984564432255839,validation,,
"ESM2 150M, seed 42, bs1",validation_history,20.0,0.955282684065338,0.489906937013892,validation,,
